participant,rate,zooming,language
p1,7,no,english
p2,2,no,english
p3,3,no,english
p4,5,no,english
p5,1,no,english
p6,2,no,english
p7,6,no,english
p8,3,no,english
p9,1,no,english
p10,4,no,english
p11,7,no,english
p12,2,no,english
p13,1,no,english
p14,4,no,english
p15,1,no,english
p16,4,no,english
p17,7,no,english
p18,2,no,english
p19,0,no,english
p20,1,no,english
p21,4,no,english
p22,5,no,english
p23,4,no,english
p24,5,no,english
p25,2,no,english
p26,4,no,english
p27,3,no,english
p28,3,no,english
p29,2,no,english
p30,7,no,english
p1,7,yes,english
p2,2,yes,english
p3,3,yes,english
p4,6,yes,english
p5,0,yes,english
p6,3,yes,english
p7,6,yes,english
p8,5,yes,english
p9,2,yes,english
p10,3,yes,english
p11,7,yes,english
p12,4,yes,english
p13,2,yes,english
p14,2,yes,english
p15,4,yes,english
p16,4,yes,english
p17,7,yes,english
p18,3,yes,english
p19,1,yes,english
p20,2,yes,english
p21,4,yes,english
p22,5,yes,english
p23,6,yes,english
p24,7,yes,english
p25,2,yes,english
p26,4,yes,english
p27,5,yes,english
p28,2,yes,english
p29,1,yes,english
p30,7,yes,english